DSS y Ruta Materna Perinatal,Fecha,Región en Salud,Región Salud,Municipio,NOMBRE DEL PRESTADOR - ESE,Servicios,"Problema trazador priorizado ",Fuentes,Responsable del diligenciamiento,"Identificación de Determinantes Sociales de la Salud										 ",Identificación de Determinantes Sociales de la Salud.,Categoría del determinante,Subcategoría,Determinante identificado,Descripción del hallazgo,Evidencia o fuente de información,Relación con el problema trazador,Nivel de incidencia,"Barrera identificada, marcacion multiple.",Oportunidad de mejora preliminar,Observaciones,Síntesis del análisis DSS,Determinante crítico identificado,Categoría principal asociada,Barrera más relevante,Relación con la Ruta Materna Perinatal,Oportunidad de mejora prioritaria,Insumo para Protocolo de Londres,Síntesis del análisis Ruta Materna,Motivo de canalización,Tipo de Canalización (Receptor) *,Comentarios Adicionales,Matriz de análisis de la Ruta Materno Perinatal,Número,Momento de la ruta,Atención clave,Actividad esperada,Indicador de seguimiento,Meta establecida (Ingrese la meta institucional o territorial esperada en  porcentaje),Meta alcanzada (Ingresa el resultado logrado en porcentaje),Brecha (Se calcula como meta establecida menos meta alcanzada),Semáforo,Evidencia o fuente de verificación,Cumplimiento,Brecha identificada (Describa la diferencia entre lo esperado y lo observado),Tipo de Barrera,Barrera de acceso o continuidad,Tipo de determinante,Determinante relacionado,Relación con el problema trazador,Nivel de criticidad,Oportunidad de mejora (Propongo una acción concreta para cerrar la brecha y fortalecer la ruta),Responsable sugerido,Observaciones
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Seguimiento posparto,Educación para la salud,"Valorar riesgo cardiovascular/metabólico, salud mental, salud bucal, SSR, hábitos y condiciones laborales/familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Seguimiento posparto,Educación para la salud,"Medir presión arterial, IMC, perímetro abdominal y solicitar/valorar pruebas según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Seguimiento posparto,Educación para la salud,"Realizar o gestionar tamizajes según sexo, edad y riesgo: cuello uterino, mama, colon y próstata cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Seguimiento posparto,Educación para la salud,"Educar en autocuidado, alimentación saludable, actividad física, cesación de tabaco, salud mental y adherencia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Detección de complicaciones,Valoración integral adultez,"Valorar riesgo cardiovascular/metabólico, salud mental, salud bucal, SSR, hábitos y condiciones laborales/familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Detección de complicaciones,Valoración integral adultez,"Medir presión arterial, IMC, perímetro abdominal y solicitar/valorar pruebas según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Detección de complicaciones,Valoración integral adultez,"Realizar o gestionar tamizajes según sexo, edad y riesgo: cuello uterino, mama, colon y próstata cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Detección de complicaciones,Valoración integral adultez,"Educar en autocuidado, alimentación saludable, actividad física, cesación de tabaco, salud mental y adherencia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Detección de complicaciones,Detección temprana de riesgo cardiovascular y metabólico,"Valorar riesgo cardiovascular/metabólico, salud mental, salud bucal, SSR, hábitos y condiciones laborales/familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Detección de complicaciones,Detección temprana de riesgo cardiovascular y metabólico,"Medir presión arterial, IMC, perímetro abdominal y solicitar/valorar pruebas según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Detección de complicaciones,Detección temprana de riesgo cardiovascular y metabólico,"Realizar o gestionar tamizajes según sexo, edad y riesgo: cuello uterino, mama, colon y próstata cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Detección de complicaciones,Detección temprana de riesgo cardiovascular y metabólico,"Educar en autocuidado, alimentación saludable, actividad física, cesación de tabaco, salud mental y adherencia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Detección de complicaciones,Detección temprana de cáncer,"Valorar riesgo cardiovascular/metabólico, salud mental, salud bucal, SSR, hábitos y condiciones laborales/familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Detección de complicaciones,Detección temprana de cáncer,"Medir presión arterial, IMC, perímetro abdominal y solicitar/valorar pruebas según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Detección de complicaciones,Detección temprana de cáncer,"Realizar o gestionar tamizajes según sexo, edad y riesgo: cuello uterino, mama, colon y próstata cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Detección de complicaciones,Detección temprana de cáncer,"Educar en autocuidado, alimentación saludable, actividad física, cesación de tabaco, salud mental y adherencia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Detección de complicaciones,Educación para la salud,"Valorar riesgo cardiovascular/metabólico, salud mental, salud bucal, SSR, hábitos y condiciones laborales/familiares",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Detección de complicaciones,Educación para la salud,"Medir presión arterial, IMC, perímetro abdominal y solicitar/valorar pruebas según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Detección de complicaciones,Educación para la salud,"Realizar o gestionar tamizajes según sexo, edad y riesgo: cuello uterino, mama, colon y próstata cuando aplique",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seguimiento posparto y control del puerperio,Detección de complicaciones,Educación para la salud,"Educar en autocuidado, alimentación saludable, actividad física, cesación de tabaco, salud mental y adherencia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Consejería anticonceptiva posparto,Valoración integral vejez,"Valorar funcionalidad, fragilidad, dependencia, cognición, salud mental, nutrición, entorno y red de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Consejería anticonceptiva posparto,Valoración integral vejez,"Tamizar riesgo de caídas, deterioro cognitivo, depresión, malnutrición y polifarmacia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Consejería anticonceptiva posparto,Valoración integral vejez,"Definir plan de cuidado, seguimiento, canalización y apoyo a cuidador/red familiar según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Consejería anticonceptiva posparto,Valoración integral vejez,"Educar en autocuidado, actividad física segura, alimentación, adherencia, prevención de caídas y redes de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Consejería anticonceptiva posparto,Detección temprana de fragilidad y dependencia,"Valorar funcionalidad, fragilidad, dependencia, cognición, salud mental, nutrición, entorno y red de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Consejería anticonceptiva posparto,Detección temprana de fragilidad y dependencia,"Tamizar riesgo de caídas, deterioro cognitivo, depresión, malnutrición y polifarmacia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Consejería anticonceptiva posparto,Detección temprana de fragilidad y dependencia,"Definir plan de cuidado, seguimiento, canalización y apoyo a cuidador/red familiar según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Consejería anticonceptiva posparto,Detección temprana de fragilidad y dependencia,"Educar en autocuidado, actividad física segura, alimentación, adherencia, prevención de caídas y redes de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Consejería anticonceptiva posparto,Plan integral de cuidado,"Valorar funcionalidad, fragilidad, dependencia, cognición, salud mental, nutrición, entorno y red de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Consejería anticonceptiva posparto,Plan integral de cuidado,"Tamizar riesgo de caídas, deterioro cognitivo, depresión, malnutrición y polifarmacia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Consejería anticonceptiva posparto,Plan integral de cuidado,"Definir plan de cuidado, seguimiento, canalización y apoyo a cuidador/red familiar según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Consejería anticonceptiva posparto,Plan integral de cuidado,"Educar en autocuidado, actividad física segura, alimentación, adherencia, prevención de caídas y redes de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Consejería anticonceptiva posparto,Educación para la salud,"Valorar funcionalidad, fragilidad, dependencia, cognición, salud mental, nutrición, entorno y red de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Consejería anticonceptiva posparto,Educación para la salud,"Tamizar riesgo de caídas, deterioro cognitivo, depresión, malnutrición y polifarmacia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Consejería anticonceptiva posparto,Educación para la salud,"Definir plan de cuidado, seguimiento, canalización y apoyo a cuidador/red familiar según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Consejería anticonceptiva posparto,Educación para la salud,"Educar en autocuidado, actividad física segura, alimentación, adherencia, prevención de caídas y redes de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Entrega de método posparto,Valoración integral vejez,"Valorar funcionalidad, fragilidad, dependencia, cognición, salud mental, nutrición, entorno y red de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Entrega de método posparto,Valoración integral vejez,"Tamizar riesgo de caídas, deterioro cognitivo, depresión, malnutrición y polifarmacia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Entrega de método posparto,Valoración integral vejez,"Definir plan de cuidado, seguimiento, canalización y apoyo a cuidador/red familiar según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Entrega de método posparto,Valoración integral vejez,"Educar en autocuidado, actividad física segura, alimentación, adherencia, prevención de caídas y redes de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Entrega de método posparto,Detección temprana de fragilidad y dependencia,"Valorar funcionalidad, fragilidad, dependencia, cognición, salud mental, nutrición, entorno y red de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Entrega de método posparto,Detección temprana de fragilidad y dependencia,"Tamizar riesgo de caídas, deterioro cognitivo, depresión, malnutrición y polifarmacia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Entrega de método posparto,Detección temprana de fragilidad y dependencia,"Definir plan de cuidado, seguimiento, canalización y apoyo a cuidador/red familiar según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Entrega de método posparto,Detección temprana de fragilidad y dependencia,"Educar en autocuidado, actividad física segura, alimentación, adherencia, prevención de caídas y redes de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Entrega de método posparto,Plan integral de cuidado,"Valorar funcionalidad, fragilidad, dependencia, cognición, salud mental, nutrición, entorno y red de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Entrega de método posparto,Plan integral de cuidado,"Tamizar riesgo de caídas, deterioro cognitivo, depresión, malnutrición y polifarmacia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Entrega de método posparto,Plan integral de cuidado,"Definir plan de cuidado, seguimiento, canalización y apoyo a cuidador/red familiar según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Entrega de método posparto,Plan integral de cuidado,"Educar en autocuidado, actividad física segura, alimentación, adherencia, prevención de caídas y redes de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Entrega de método posparto,Educación para la salud,"Valorar funcionalidad, fragilidad, dependencia, cognición, salud mental, nutrición, entorno y red de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Entrega de método posparto,Educación para la salud,"Tamizar riesgo de caídas, deterioro cognitivo, depresión, malnutrición y polifarmacia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Entrega de método posparto,Educación para la salud,"Definir plan de cuidado, seguimiento, canalización y apoyo a cuidador/red familiar según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Entrega de método posparto,Educación para la salud,"Educar en autocuidado, actividad física segura, alimentación, adherencia, prevención de caídas y redes de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Seguimiento anticonceptivo posparto,Valoración integral vejez,"Valorar funcionalidad, fragilidad, dependencia, cognición, salud mental, nutrición, entorno y red de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Seguimiento anticonceptivo posparto,Valoración integral vejez,"Tamizar riesgo de caídas, deterioro cognitivo, depresión, malnutrición y polifarmacia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Seguimiento anticonceptivo posparto,Valoración integral vejez,"Definir plan de cuidado, seguimiento, canalización y apoyo a cuidador/red familiar según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Seguimiento anticonceptivo posparto,Valoración integral vejez,"Educar en autocuidado, actividad física segura, alimentación, adherencia, prevención de caídas y redes de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Seguimiento anticonceptivo posparto,Detección temprana de fragilidad y dependencia,"Valorar funcionalidad, fragilidad, dependencia, cognición, salud mental, nutrición, entorno y red de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Seguimiento anticonceptivo posparto,Detección temprana de fragilidad y dependencia,"Tamizar riesgo de caídas, deterioro cognitivo, depresión, malnutrición y polifarmacia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Seguimiento anticonceptivo posparto,Detección temprana de fragilidad y dependencia,"Definir plan de cuidado, seguimiento, canalización y apoyo a cuidador/red familiar según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Seguimiento anticonceptivo posparto,Detección temprana de fragilidad y dependencia,"Educar en autocuidado, actividad física segura, alimentación, adherencia, prevención de caídas y redes de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Seguimiento anticonceptivo posparto,Plan integral de cuidado,"Valorar funcionalidad, fragilidad, dependencia, cognición, salud mental, nutrición, entorno y red de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Seguimiento anticonceptivo posparto,Plan integral de cuidado,"Tamizar riesgo de caídas, deterioro cognitivo, depresión, malnutrición y polifarmacia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Seguimiento anticonceptivo posparto,Plan integral de cuidado,"Definir plan de cuidado, seguimiento, canalización y apoyo a cuidador/red familiar según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Seguimiento anticonceptivo posparto,Plan integral de cuidado,"Educar en autocuidado, actividad física segura, alimentación, adherencia, prevención de caídas y redes de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Seguimiento anticonceptivo posparto,Educación para la salud,"Valorar funcionalidad, fragilidad, dependencia, cognición, salud mental, nutrición, entorno y red de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Seguimiento anticonceptivo posparto,Educación para la salud,"Tamizar riesgo de caídas, deterioro cognitivo, depresión, malnutrición y polifarmacia",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Seguimiento anticonceptivo posparto,Educación para la salud,"Definir plan de cuidado, seguimiento, canalización y apoyo a cuidador/red familiar según riesgo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consejería en anticoncepción posparto,Seguimiento anticonceptivo posparto,Educación para la salud,"Educar en autocuidado, actividad física segura, alimentación, adherencia, prevención de caídas y redes de apoyo",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Plan de continuidad del cuidado,"Definir seguimiento integral de madre, recién nacido, lactancia, anticoncepción y redes de apoyo",Plan de continuidad del cuidado definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Plan de continuidad del cuidado,"Definir seguimiento integral de madre, recién nacido, lactancia, anticoncepción y redes de apoyo",Articulación con red y programas realizada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Plan de continuidad del cuidado,"Definir seguimiento integral de madre, recién nacido, lactancia, anticoncepción y redes de apoyo",Brechas de acceso cerradas o gestionadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Plan de continuidad del cuidado,"Articular seguimiento con primer nivel, PIC, rutas de protección y oferta intersectorial",Plan de continuidad del cuidado definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Plan de continuidad del cuidado,"Articular seguimiento con primer nivel, PIC, rutas de protección y oferta intersectorial",Articulación con red y programas realizada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Plan de continuidad del cuidado,"Articular seguimiento con primer nivel, PIC, rutas de protección y oferta intersectorial",Brechas de acceso cerradas o gestionadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Plan de continuidad del cuidado,"Monitorear barreras, citas pendientes, resultados y continuidad hasta cierre de brechas",Plan de continuidad del cuidado definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Plan de continuidad del cuidado,"Monitorear barreras, citas pendientes, resultados y continuidad hasta cierre de brechas",Articulación con red y programas realizada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Plan de continuidad del cuidado,"Monitorear barreras, citas pendientes, resultados y continuidad hasta cierre de brechas",Brechas de acceso cerradas o gestionadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Articulación con red y programas,"Definir seguimiento integral de madre, recién nacido, lactancia, anticoncepción y redes de apoyo",Plan de continuidad del cuidado definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Articulación con red y programas,"Definir seguimiento integral de madre, recién nacido, lactancia, anticoncepción y redes de apoyo",Articulación con red y programas realizada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Articulación con red y programas,"Definir seguimiento integral de madre, recién nacido, lactancia, anticoncepción y redes de apoyo",Brechas de acceso cerradas o gestionadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Articulación con red y programas,"Articular seguimiento con primer nivel, PIC, rutas de protección y oferta intersectorial",Plan de continuidad del cuidado definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Articulación con red y programas,"Articular seguimiento con primer nivel, PIC, rutas de protección y oferta intersectorial",Articulación con red y programas realizada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Articulación con red y programas,"Articular seguimiento con primer nivel, PIC, rutas de protección y oferta intersectorial",Brechas de acceso cerradas o gestionadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Articulación con red y programas,"Monitorear barreras, citas pendientes, resultados y continuidad hasta cierre de brechas",Plan de continuidad del cuidado definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Articulación con red y programas,"Monitorear barreras, citas pendientes, resultados y continuidad hasta cierre de brechas",Articulación con red y programas realizada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Articulación con red y programas,"Monitorear barreras, citas pendientes, resultados y continuidad hasta cierre de brechas",Brechas de acceso cerradas o gestionadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Cierre de brechas de acceso,"Definir seguimiento integral de madre, recién nacido, lactancia, anticoncepción y redes de apoyo",Plan de continuidad del cuidado definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Cierre de brechas de acceso,"Definir seguimiento integral de madre, recién nacido, lactancia, anticoncepción y redes de apoyo",Articulación con red y programas realizada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Cierre de brechas de acceso,"Definir seguimiento integral de madre, recién nacido, lactancia, anticoncepción y redes de apoyo",Brechas de acceso cerradas o gestionadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Cierre de brechas de acceso,"Articular seguimiento con primer nivel, PIC, rutas de protección y oferta intersectorial",Plan de continuidad del cuidado definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Cierre de brechas de acceso,"Articular seguimiento con primer nivel, PIC, rutas de protección y oferta intersectorial",Articulación con red y programas realizada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Cierre de brechas de acceso,"Articular seguimiento con primer nivel, PIC, rutas de protección y oferta intersectorial",Brechas de acceso cerradas o gestionadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Cierre de brechas de acceso,"Monitorear barreras, citas pendientes, resultados y continuidad hasta cierre de brechas",Plan de continuidad del cuidado definido,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Cierre de brechas de acceso,"Monitorear barreras, citas pendientes, resultados y continuidad hasta cierre de brechas",Articulación con red y programas realizada,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuidad del cuidado,Cierre de brechas de acceso,"Monitorear barreras, citas pendientes, resultados y continuidad hasta cierre de brechas",Brechas de acceso cerradas o gestionadas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planificación familiar y anticoncepción,Consejería anticonceptiva,Valorar intención reproductiva,Cobertura de anticoncepción,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planificación familiar y anticoncepción,Consejería anticonceptiva,Valorar intención reproductiva,Demanda insatisfecha de anticoncepción,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planificación familiar y anticoncepción,Consejería anticonceptiva,Valorar intención reproductiva,Seguimiento post entrega del método,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planificación familiar y anticoncepción,Consejería anticonceptiva,Informar opciones y signos de alarma,Cobertura de anticoncepción,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planificación familiar y anticoncepción,Consejería anticonceptiva,Informar opciones y signos de alarma,Demanda insatisfecha de anticoncepción,,,,,,,,,,,,,,,,
